unit,principle,hardness,hard,thickness_mm,marker,run,n_frames,n_frames_le2N,hertz_k,hertz_n,px_per_mm,scale_trusted,tilt_deg,hertz_a_ball8,zero_r2,d_2N_mm,a_2N_mm,mu,shear_max_N,creep_mm_per_cycle,fz_noise_mae,lat_noise_mae,fz_rate_per_frame,lat_rate_per_frame,fz_sd_0N,lat_sd_0N,ft_rate_hz,reference_used,pedestal_ratio,img_slope_lvl_per_N,img_slope_lvl_per_mm,imprint_area_slope_pct_per_N,img_resp_at_2N,bw_normal_f90,bw_shear_f90,shear_snr,fz_rate_per_s,lat_rate_per_s
hard_1mm_r1,9DTact,hard,2,1,0,9DTact_hard_1mm_r1,1000,981,1.1341697788268643,2.0100082901916467,97.07236951647629,True,2.194891382762852,1.5665310655700675,0.9924706679385572,0.89455,2.521146623562382,0.426237910979224,0.5738568866886586,-0.0134899999999999,0.0097155043164107,0.0070172804638309,0.0150999999999999,0.0285815493643548,0.0213209795626913,0.0020075233536837,49.5294687245374,reference.png,1.0,0.800877135875954,1.920010232147703,2.71656028033491,4.591521739959717,0.3,0.5,6.581921573299095,0.03664993926782258,0.06937165883336976
hard_1mm_r2,9DTact,hard,2,1,0,9DTact_hard_1mm_r2,1000,976,0.9547179207227018,1.2589319938431434,,,,1.6703316355382665,0.9930729024180815,0.8781,2.50074796610934,0.4644415658509229,0.5163521996660806,0.0026488095238095,0.0129407233108346,0.0111052728991299,0.0338249999999998,0.03661686502881,0.011587724992952,0.0016352716506103,49.48797696863865,reference.png,1.0,0.7493915000351393,1.9276578479461752,3.2651423250023366,4.300583839416504,0.2,0.3,3.1755047314796285,0.08209829110821852,0.08887456155522862
hard_2mm_r1,9DTact,hard,2,2,0,9DTact_hard_2mm_r1,1000,987,1.5090579774914854,1.480369414334226,89.01120169720986,True,2.502409497584236,2.2908168913455844,0.991933123463847,0.7684,2.3572783967957625,0.4394842043761807,0.5901305999522479,-0.0010321428571428,0.0132703694304443,0.0119543525872991,0.0349825,0.0367239844721035,0.0134739513172006,0.001644117171611,49.43606425986823,reference.png,1.0,0.8346441995734718,2.302748045968224,3.1451663732907558,5.129086971282959,0.2,0.3,2.647947371969569,0.08490771526070277,0.0891345563294743
hard_2mm_r2,9DTact,hard,2,2,0,9DTact_hard_2mm_r2,1000,972,1.5867014351274773,1.368516730534283,92.41536078825044,True,3.325900784744212,2.176712167319024,0.996968806393546,0.8149,2.419739240083526,0.4645817275794754,0.5925135979030355,0.0031357142857142,0.0125869272923523,0.0087818676838385,0.0346349999999999,0.0382190352317853,0.0145911431532105,0.0023736076504969,49.56927258760267,reference.png,1.0,0.8902638210445648,2.401466679733117,3.1696111476174123,5.223546504974365,0.2,0.3,2.714525508048763,0.08406428122788344,0.09276326623309351
hard_3mm_r1,9DTact,hard,2,3,0,9DTact_hard_3mm_r1,1000,978,1.717738107980184,1.6032249229592423,77.293439129834,True,0.5741802023546245,2.699504141861459,0.998156558969726,0.7493,2.330868831573325,0.4148898175356761,0.5526622792447482,0.0022933333333333,0.0342542165607684,0.0657471988051921,0.0419349999999999,0.0608396129149311,0.0146212397955395,0.0024318449970738,49.66465172730233,reference.png,1.0,0.4739518001515679,1.372767281178267,2.4691179347830308,4.82125997543335,0.2,0.4,1.121823500196718,0.10178246378782428,0.14766676280861415
hard_3mm_r2,9DTact,hard,2,3,0,9DTact_hard_3mm_r2,1000,950,1.8465838085597508,1.8393772336867715,82.60132022443682,True,1.505195701829106,2.640442224793062,0.9982701835225514,0.7683,2.357141300389096,0.6911995980738741,0.9124664134092828,0.0059278787878788,0.0180073720942871,0.013559766796895,0.03584,0.0477849899357487,0.0143455847852972,0.0026789213411258,49.48505763399757,reference.png,1.0,0.4725812364802102,1.3839465460910092,1.6778411017677293,5.217267036437988,0.2,0.4,1.7657391700623168,0.08698899492442184,0.11598125689130562
medium_1mm_r1,9DTact,medium,1,1,0,9DTact_medium_1mm_r1,1000,983,0.6814974415156406,0.8254545222659325,94.05626905723857,True,1.6930941870076637,1.754258971510239,0.9970822599306836,0.9611,2.600978044890037,0.4395655898564431,0.6451328336087073,-0.0071066666666666,0.0463291659970235,0.0607569002234915,0.064135,0.0599596486459648,0.0140025368403933,0.0020795892221845,49.75862764405111,reference.png,1.0,0.8319280968136976,1.899107715010187,3.080364996728102,4.8727545738220215,0.2,0.4,5.874189541088191,0.1556651559564117,0.14553095903275529
medium_1mm_r2,9DTact,medium,1,1,0,9DTact_medium_1mm_r2,1000,978,1.1150964745675396,1.583826384806434,87.59890852087568,True,3.6083705662237655,2.105938646439942,0.9975509543961232,0.8695999999999999,2.4900995642744888,0.5559173773192828,0.6323838125695502,0.0054516666666666,0.0425883466616716,0.0713621919039438,0.0557099999999999,0.067122957948741,0.0132621982890052,0.0020392272530126,49.66965089289943,reference.png,1.0,0.7422868171168007,1.854747433327102,3.084187069503808,4.2467427253723145,0.2,0.3,3.2382251407363074,0.13521643156360305,0.16291737299986642
medium_2mm_r2,9DTact,medium,1,2,0,9DTact_medium_2mm_r2,1000,993,,,,False,0.0553925080557392,1.3449297418778154,0.9971054760831836,1.0569,2.708904278486045,0.4493147739157799,0.6299348198821844,-0.0008242424242423,0.0486692911977699,0.0681520474551588,0.0589599999999999,0.0806010015510594,0.0130679475113197,0.0018987569733744,49.54409506484916,reference.png,1.0,1.9310535493706131,3.912861011342932,4.544448307626409,7.493423938751221,0.2,0.3,3.6801498906087984,0.14310466352522053,0.19563058356106094
medium_3mm_r1,9DTact,medium,1,3,0,9DTact_medium_3mm_r1,1000,998,0.4085074552906417,2.0264611650480284,82.27165028517139,True,1.689196367448731,0.905642382221507,0.9817852014413522,1.2829000000000002,2.935535315747368,0.5244002309090245,0.6898747237723672,0.0053937062937063,0.0375289428478809,0.0611925414582098,0.0461225,0.053708197299905,0.0156350688414208,0.0028200588087147,49.48797696863865,reference.png,1.0,1.44863334370971,2.581698366764384,5.070313176057799,7.20558500289917,0.2,0.2,4.220316151324229,0.11194614727683166,0.1303577595513751
