index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788894045.799166,1788894045.739166,normal_load,1,,2.0,-0.0023,-0.00242,0.00913,-3e-05,0.0,1e-05,-0.00307,-0.00353,0.00801,-5e-05,3e-05,0.0,-0.00084,-0.0031,0.00918,3,37.9158,362.8129,36.7719,179.2089,0.3997,-102.8192,0.0012,24.4599,-0.0441
2,000002.png,False,1788894046.579123,1788894046.519124,normal_load,1,,2.0,-0.00962,-0.02509,-0.02109,0.00061,-9e-05,-4e-05,-0.01051,-0.02637,-0.0224,0.00058,-6e-05,-5e-05,0.00435,-0.02687,-0.02063,3,37.9373,362.735,36.7008,179.2118,0.3925,-102.8201,0.0088,24.3874,0.0284
3,000003.png,False,1788894046.771136,1788894046.711136,normal_load,1,,2.0,-0.00851,-0.02363,-0.17189,0.00072,-0.00024,0.00013,-0.00944,-0.02496,-0.17324,0.0007,-0.00021,0.00012,0.00563,-0.02747,-0.17144,3,37.9395,362.7288,36.608,179.211,0.3943,-102.8203,0.0021,24.2945,0.1214
4,000004.png,False,1788894046.967142,1788894046.907142,normal_load,1,,2.0,-0.01348,-0.03688,-0.30493,0.00115,-0.00025,0.00015,-0.01444,-0.03825,-0.30632,0.00113,-0.00022,0.00014,0.00886,-0.04356,-0.30422,3,37.943,362.7152,36.5429,179.2132,0.3884,-102.8205,0.0075,24.2291,0.1867
5,000005.png,False,1788894047.163154,1788894047.103154,normal_load,1,,2.0,-0.00813,-0.01582,-0.51778,0.00079,-0.00018,0.00035,-0.00912,-0.01724,-0.51922,0.00076,-0.00015,0.00033,0.00445,-0.02606,-0.51741,3,37.9409,362.7282,36.4923,179.2111,0.3941,-102.8205,0.007,24.1787,0.2371
6,000006.png,False,1788894047.359245,1788894047.299245,normal_load,1,,2.0,-0.0064,-0.01752,-0.58569,0.00081,-0.00029,0.00033,-0.00741,-0.01898,-0.58717,0.00078,-0.00026,0.00032,0.00727,-0.02775,-0.58528,3,37.9415,362.7308,36.4532,179.2104,0.3952,-102.8207,0.0012,24.1397,0.2761
7,000007.png,False,1788894047.555327,1788894047.495327,normal_load,1,,2.0,0.00169,0.01081,-0.86815,0.00033,-0.00015,0.0005,0.00064,0.00931,-0.86968,0.0003,-0.00012,0.00049,0.00208,-0.0037,-0.86821,3,37.9415,362.7369,36.4093,179.2099,0.3964,-102.8207,0.0043,24.0959,0.32
8,000008.png,False,1788894047.747184,1788894047.687184,normal_load,1,,2.0,0.00269,0.02125,-0.96113,0.0001,-0.00016,0.00032,0.00161,0.01971,-0.9627,7e-05,-0.00012,0.00031,-0.00163,0.00435,-0.96136,3,37.9406,362.7461,36.3814,179.2092,0.3985,-102.8207,0.0068,24.0682,0.3476
9,000009.png,False,1788894047.943193,1788894047.883193,normal_load,1,,2.0,0.00921,0.03342,-1.08376,-0.00023,-0.00011,0.00025,0.0081,0.03183,-1.08538,-0.00026,-7e-05,0.00023,-0.0012,0.01618,-1.0842,3,37.9379,362.7545,36.3623,179.2077,0.4021,-102.8205,0.0017,24.0492,0.3666
10,000010.png,False,1788894048.139276,1788894048.079276,normal_load,1,,2.0,0.01066,0.05224,-1.38552,-0.00048,-0.00015,0.00025,0.00952,0.05061,-1.38718,-0.00051,-0.00011,0.00023,-0.00727,0.02838,-1.38624,4,37.9386,362.7593,36.3155,179.2072,0.4038,-102.821,0.0089,24.0025,0.4133
11,000011.png,False,1788894048.335214,1788894048.275214,normal_load,1,,2.0,0.01139,0.05287,-1.3762,-0.00049,-0.00012,0.00022,0.01022,0.0512,-1.3779,-0.00053,-8e-05,0.0002,-0.00701,0.02944,-1.37693,3,37.9381,362.7561,36.3089,179.207,0.4032,-102.821,0.0062,23.9958,0.42
12,000012.png,False,1788894048.527321,1788894048.467321,normal_load,1,,2.0,0.01377,0.06376,-1.7537,-0.00056,-0.00029,0.00032,0.01257,0.06204,-1.75545,-0.0006,-0.00026,0.0003,-0.00777,0.03401,-1.75456,3,37.9375,362.7599,36.2638,179.2071,0.403,-102.821,0.003,23.9508,0.465
13,000013.png,False,1788894049.503281,1788894049.443281,normal_unload,1,,0.0,0.01389,0.07146,-2.03722,-0.00057,-0.00031,0.0004,0.01254,0.06952,-2.03919,-0.0006,-0.00027,0.00038,-0.00955,0.03619,-2.03817,3,37.9372,362.7599,36.2246,179.2075,0.4025,-102.8208,0.0057,23.9117,0.5041
14,000014.png,False,1788894049.699450,1788894049.639451,normal_unload,1,,0.0,0.013,0.07773,-1.98391,-0.00056,-0.00015,0.00032,0.01161,0.07575,-1.98593,-0.0006,-0.0001,0.0003,-0.01382,0.04204,-1.98498,2,37.9374,362.7641,36.2294,179.2071,0.4035,-102.8208,0.0007,23.9165,0.4993
15,000015.png,False,1788894049.895370,1788894049.835370,normal_unload,1,,0.0,0.01357,0.06709,-1.94903,-0.00047,-0.00026,0.00021,0.01216,0.06506,-1.95109,-0.00051,-0.00022,0.00019,-0.00825,0.03366,-1.94992,3,37.9378,362.7622,36.232,179.2074,0.4029,-102.821,0.0049,23.9191,0.4967
16,000016.png,False,1788894050.091432,1788894050.031432,normal_unload,1,,0.0,0.01287,0.06137,-1.89358,-0.0004,-0.00024,0.00024,0.01142,0.0593,-1.89569,-0.00044,-0.00019,0.00022,-0.00639,0.02924,-1.89438,3,37.9387,362.7587,36.2364,179.2075,0.402,-102.821,0.0094,23.9234,0.4924
17,000017.png,False,1788894050.283402,1788894050.223402,normal_unload,1,,0.0,0.01474,0.05289,-1.86126,-9e-05,-0.00028,0.00037,0.01327,0.05078,-1.86341,-0.00013,-0.00023,0.00035,-0.00075,0.02336,-1.86193,3,37.9411,362.7554,36.2421,179.208,0.4008,-102.8216,0.0001,23.929,0.4868
18,000018.png,False,1788894050.479448,1788894050.419448,normal_unload,1,,0.0,0.01248,0.05254,-1.7864,-2e-05,-0.0002,0.00035,0.01098,0.05039,-1.78859,-6e-05,-0.00015,0.00033,-0.00306,0.02313,-1.78706,4,37.9427,362.7523,36.2533,179.2082,0.4004,-102.8218,0.0052,23.9401,0.4757
19,000019.png,False,1788894050.675346,1788894050.615346,normal_unload,1,,0.0,0.01048,0.04096,-1.65085,0.0001,-0.00011,0.00046,0.00895,0.03876,-1.65309,6e-05,-6e-05,0.00044,6e-05,0.01427,-1.65133,3,37.9424,362.752,36.2676,179.2083,0.4,-102.8216,0.0098,23.9545,0.4614
20,000020.png,False,1788894050.871398,1788894050.811399,normal_unload,1,,0.0,0.01521,0.03832,-1.52893,6e-05,-8e-05,0.00033,0.01364,0.03607,-1.53122,2e-05,-3e-05,0.00031,0.00463,0.01629,-1.52939,3,37.9443,362.753,36.2827,179.208,0.4008,-102.8221,0.0036,23.9696,0.4463
21,000021.png,False,1788894051.063437,1788894051.003438,normal_unload,1,,0.0,0.01645,0.03383,-1.50397,0.0001,-0.00015,0.0004,0.01486,0.03155,-1.5063,6e-05,-9e-05,0.00038,0.00778,0.01343,-1.50436,3,37.9437,362.7513,36.2869,179.2084,0.4,-102.8216,0.0072,23.9737,0.4421
22,000022.png,False,1788894051.259375,1788894051.199375,normal_unload,1,,0.0,0.01427,0.03067,-1.38593,0.00011,-0.00011,0.00038,0.01264,0.02834,-1.3883,7e-05,-5e-05,0.00036,0.00664,0.01149,-1.38628,4,37.945,362.7498,36.3021,179.2083,0.4,-102.8221,0.0024,23.9889,0.4269
23,000023.png,False,1788894051.455389,1788894051.395389,normal_unload,1,,0.0,0.01524,0.02671,-1.35427,0.00015,-0.00016,0.00035,0.01358,0.02433,-1.35669,0.0001,-0.0001,0.00033,0.00924,0.00905,-1.35456,3,37.9434,362.7505,36.3067,179.2085,0.3996,-102.8218,0.0025,23.9936,0.4223
24,000024.png,False,1788894051.651482,1788894051.591482,normal_unload,1,,0.0,0.01289,0.01879,-1.19563,0.00027,1e-05,0.00027,0.0112,0.01637,-1.19809,0.00023,7e-05,0.00025,0.01007,0.00356,-1.1958,3,37.9462,362.7478,36.3285,179.2088,0.399,-102.8223,0.0073,24.0152,0.4006
25,000025.png,False,1788894051.847400,1788894051.787400,normal_unload,1,,0.0,0.01677,0.02322,-1.18761,1e-05,-0.00016,0.00032,0.01505,0.02076,-1.19012,-4e-05,-0.0001,0.00029,0.01116,0.00946,-1.18787,3,37.9462,362.7517,36.33,179.2085,0.3991,-102.8223,0.0076,24.0169,0.399
26,000026.png,False,1788894052.235426,1788894052.175426,normal_unload,1,,0.0,0.02229,0.02657,-0.97431,-5e-05,0.00024,0.00015,0.02051,0.02402,-0.97691,-0.0001,0.00029,0.00012,0.01279,0.01855,-0.97467,3,37.9475,362.7575,36.3657,179.2083,0.4,-102.8229,0.0063,24.0526,0.3632
27,000027.png,False,1788894052.627445,1788894052.567446,normal_unload,1,,0.0,0.02576,0.02137,-0.78483,-0.00011,0.00024,0.00016,0.02392,0.01873,-0.78751,-0.00016,0.0003,0.00014,0.01708,0.01881,-0.78513,3,37.9503,362.757,36.4009,179.2084,0.3998,-102.8236,0.0042,24.0877,0.3281
28,000028.png,False,1788894053.015471,1788894052.955471,normal_unload,1,,0.0,0.02466,0.01859,-0.63325,3e-05,0.00034,0.00034,0.02276,0.01587,-0.63603,-2e-05,0.00041,0.00031,0.01646,0.01828,-0.63353,3,37.9496,362.7583,36.4427,179.2079,0.401,-102.8236,0.0073,24.1296,0.2862
29,000029.png,False,1788894053.211480,1788894053.151480,normal_unload,1,,0.0,0.02083,0.00938,-0.49274,0.00022,0.00037,0.00014,0.0189,0.00661,-0.49556,0.00016,0.00043,0.00011,0.01677,0.01063,-0.49287,3,37.9509,362.7539,36.4643,179.2084,0.3998,-102.8238,0.0023,24.1511,0.2647
30,000030.png,False,1788894053.407564,1788894053.347564,normal_unload,1,,0.0,0.01826,0.0021,-0.40857,0.0003,0.0003,6e-05,0.0163,-0.00072,-0.41143,0.00024,0.00036,3e-05,0.01761,0.0044,-0.40858,3,37.9515,362.7504,36.4887,179.2088,0.3988,-102.8238,0.0063,24.1754,0.2404
31,000031.png,False,1788894053.599627,1788894053.539627,normal_unload,1,,0.0,0.01565,-0.00293,-0.33301,0.00043,0.00033,6e-05,0.01366,-0.00578,-0.33592,0.00038,0.00039,3e-05,0.01733,-5e-05,-0.33294,2,37.9511,362.7505,36.5149,179.2086,0.3994,-102.824,0.005,24.2017,0.2142
32,000032.png,False,1788894053.795511,1788894053.735511,normal_unload,1,,0.0,0.01456,-0.00051,-0.25833,0.00027,0.00039,0.00022,0.01253,-0.00341,-0.26128,0.00022,0.00045,0.00019,0.01466,0.00269,-0.25831,3,37.9512,362.7518,36.5503,179.2083,0.4,-102.824,0.0002,24.2371,0.1787
33,000033.png,False,1788894053.991524,1788894053.931524,normal_unload,1,,0.0,0.01224,-0.00536,-0.19207,0.0005,0.00032,0.00018,0.01019,-0.0083,-0.19506,0.00044,0.00039,0.00015,0.01462,-0.0016,-0.19197,3,37.9524,362.7482,36.5683,179.2089,0.3993,-102.824,0.0054,24.255,0.1608
34,000034.png,False,1788894054.187534,1788894054.127534,normal_unload,1,,0.0,0.01296,-0.00795,-0.08949,0.00036,0.00018,0.00023,0.01087,-0.01094,-0.09253,0.00031,0.00025,0.0002,0.01582,-0.00185,-0.08937,3,37.9513,362.7517,36.624,179.2079,0.401,-102.824,0.0098,24.3107,0.1051
35,000035.png,False,1788894054.383655,1788894054.323655,normal_unload,1,,0.0,0.0054,-0.01085,-0.07937,0.0005,0.00026,0.00011,0.00329,-0.01388,-0.08246,0.00044,0.00033,8e-05,0.01065,-0.00797,-0.07918,3,37.9508,362.7493,36.637,179.2085,0.3996,-102.8238,0.0045,24.3237,0.0922
36,000036.png,False,1788894054.575657,1788894054.515657,dwell,1,,0.0,0.00964,-0.00935,0.0142,0.00031,0.00024,0.00014,0.0075,-0.01242,0.01107,0.00025,0.00031,0.00011,0.01293,-0.00305,0.01434,3,37.9511,362.76,36.7117,179.2076,0.4018,-102.8242,0.0048,24.3986,0.0173
37,000037.png,False,1788894055.551704,1788894055.491704,dwell,1,,0.0,0.00117,-0.00933,0.01474,0.00042,6e-05,-1e-05,-0.00113,-0.01262,0.01139,0.00035,0.00013,-4e-05,0.00557,-0.00726,0.0149,3,37.9438,362.7737,36.741,179.2081,0.401,-102.8279,0.0014,24.4282,-0.0124
38,000038.png,False,1788894055.747690,1788894055.687690,normal_load,2,,2.0,-0.00068,-0.01075,0.01677,0.00038,1e-05,-2e-05,-0.00301,-0.01408,0.01338,0.00031,9e-05,-5e-05,0.00467,-0.00938,0.01696,3,37.9418,362.7745,36.74,179.2079,0.4009,-102.8275,0.0072,24.4272,-0.0114
39,000039.png,False,1788894055.943629,1788894055.883629,normal_load,2,,2.0,0.00115,-0.00656,-0.0001,0.00024,-4e-05,0.00014,-0.00121,-0.00994,-0.00354,0.00018,4e-05,0.0001,0.00428,-0.00511,1e-05,3,37.9403,362.7753,36.7401,179.2078,0.4011,-102.8273,0.0077,24.4273,-0.0114
40,000040.png,False,1788894056.139635,1788894056.079635,normal_load,2,,2.0,-0.00528,-0.01173,-0.02139,0.0004,-6e-05,0.00014,-0.00766,-0.01515,-0.02488,0.00034,1e-05,0.00011,0.00144,-0.01313,-0.02118,3,37.9391,362.7666,36.7113,179.2092,0.3979,-102.8266,0.0026,24.3983,0.0175
41,000041.png,False,1788894056.331651,1788894056.271651,normal_load,2,,2.0,-0.00441,-0.01274,-0.04787,0.00059,5e-05,0.0002,-0.00683,-0.01621,-0.05139,0.00053,0.00013,0.00016,0.00288,-0.01401,-0.04763,3,37.9392,362.7678,36.7061,179.209,0.3983,-102.8268,0.0063,24.3932,0.0227
42,000042.png,False,1788894056.527666,1788894056.467666,normal_load,2,,2.0,-0.00465,-0.0121,-0.12276,0.00053,-0.0001,0.00018,-0.0071,-0.01561,-0.12633,0.00046,-2e-05,0.00015,0.00287,-0.01477,-0.12252,3,37.9391,362.7623,36.6326,179.21,0.3959,-102.8266,0.0088,24.3196,0.0963
43,000043.png,False,1788894056.723670,1788894056.663671,normal_load,2,,2.0,-0.0047,-0.00973,-0.0799,0.00036,-8e-05,-8e-05,-0.00718,-0.01329,-0.08352,0.00029,-0.0,-0.00011,0.00134,-0.01206,-0.07971,3,37.9374,362.7666,36.6341,179.2092,0.3972,-102.8264,0.0013,24.3211,0.0947
44,000044.png,False,1788894057.111696,1788894057.051696,normal_load,2,,2.0,-0.00626,0.00213,-0.31916,0.00025,-0.00015,-1e-05,-0.0088,-0.00151,-0.32286,0.00018,-6e-05,-4e-05,-0.00427,-0.0064,-0.31913,3,37.9347,362.7687,36.5304,179.2093,0.3975,-102.826,0.0002,24.2175,0.1983
45,000045.png,False,1788894057.503714,1788894057.443714,normal_load,2,,2.0,0.00077,0.02495,-0.67643,-0.00014,-0.00016,-0.0,-0.00183,0.02122,-0.68023,-0.00022,-8e-05,-4e-05,-0.00711,0.01116,-0.67676,3,37.9317,362.7795,36.4308,179.2081,0.4003,-102.8258,0.0099,24.1182,0.2977
46,000046.png,False,1788894057.699833,1788894057.639833,normal_load,2,,2.0,0.00078,0.04092,-1.04993,-0.00027,-0.00024,-4e-05,-0.00185,0.03714,-1.05377,-0.00035,-0.00015,-8e-05,-0.01248,0.01901,-1.05048,3,37.9317,362.78,36.3615,179.2075,0.4019,-102.826,0.0048,24.0488,0.367
47,000047.png,False,1788894057.891857,1788894057.831857,normal_load,2,,2.0,-0.00064,0.03663,-1.07546,-0.00023,-0.0003,0.00019,-0.0033,0.03282,-1.07935,-0.0003,-0.00022,0.00015,-0.0114,0.01418,-1.07593,3,37.9339,362.7735,36.3513,179.2084,0.4002,-102.826,0.0042,24.0385,0.3773
48,000048.png,False,1788894058.087811,1788894058.027812,normal_load,2,,2.0,0.00618,0.05876,-1.3156,-0.00053,-0.00023,0.00015,0.00349,0.0549,-1.31953,-0.00061,-0.00014,0.00011,-0.01489,0.0329,-1.31643,3,37.9302,362.787,36.3207,179.2059,0.4055,-102.8262,0.0091,24.0082,0.4077
49,000049.png,False,1788894058.283831,1788894058.223831,normal_load,2,,2.0,0.00599,0.06201,-1.44932,-0.00061,-0.00022,0.00013,0.00326,0.0581,-1.45329,-0.00068,-0.00014,9e-05,-0.01575,0.03348,-1.45019,3,37.9292,362.7893,36.2943,179.2058,0.4052,-102.8258,0.0062,23.9819,0.4339
50,000050.png,False,1788894058.479898,1788894058.419899,normal_load,2,,2.0,0.01405,0.0766,-1.5434,-0.00099,-0.00019,0.00025,0.0113,0.07265,-1.54742,-0.00107,-0.0001,0.00021,-0.0154,0.04864,-1.54452,3,37.9297,362.7975,36.2871,179.2048,0.4081,-102.8264,0.0014,23.9748,0.441
51,000051.png,False,1788894058.675771,1788894058.615772,normal_load,2,,2.0,0.01151,0.09006,-1.82742,-0.00101,-0.00014,0.00017,0.00872,0.08607,-1.83148,-0.00109,-6e-05,0.00013,-0.02236,0.05448,-1.82872,3,37.9289,362.797,36.2497,179.2053,0.4071,-102.826,0.0035,23.9374,0.4785
52,000052.png,False,1788894058.867792,1788894058.807792,normal_load,2,,2.0,0.01123,0.08535,-1.83425,-0.00099,-0.00035,0.00027,0.00842,0.08132,-1.83835,-0.00107,-0.00026,0.00023,-0.0202,0.05015,-1.83547,3,37.9287,362.7951,36.2485,179.2053,0.4071,-102.8262,0.0078,23.9361,0.4797
53,000053.png,False,1788894059.647835,1788894059.587835,normal_unload,2,,0.0,0.01488,0.09534,-2.00652,-0.0011,-0.00034,0.00026,0.01194,0.09114,-2.01081,-0.00118,-0.00025,0.00022,-0.02084,0.05787,-2.0079,3,37.9284,362.7983,36.2252,179.205,0.4077,-102.826,0.0032,23.913,0.5029
54,000054.png,False,1788894059.843847,1788894059.783847,normal_unload,2,,0.0,0.01458,0.10205,-1.96334,-0.00132,-0.00034,0.00013,0.01161,0.0978,-1.96767,-0.00141,-0.00025,9e-05,-0.02475,0.06422,-1.96484,3,37.9292,362.8003,36.2278,179.2048,0.4083,-102.8264,0.0054,23.9155,0.5003
55,000055.png,False,1788894060.039851,1788894059.979851,normal_unload,2,,0.0,0.01548,0.09454,-1.96538,-0.00102,-0.00032,0.00031,0.01248,0.09024,-1.96976,-0.00111,-0.00022,0.00027,-0.0202,0.05813,-1.96675,3,37.9279,362.7988,36.2278,179.205,0.4077,-102.8262,0.0092,23.9155,0.5003
56,000056.png,False,1788894060.235981,1788894060.175981,normal_unload,2,,0.0,0.01347,0.08866,-1.93103,-0.00099,-0.0003,0.00027,0.01044,0.08432,-1.93544,-0.00107,-0.0002,0.00023,-0.01924,0.05259,-1.9323,3,37.9283,362.7987,36.2321,179.2054,0.4069,-102.8262,0.0016,23.9198,0.496
57,000057.png,False,1788894060.427987,1788894060.367987,normal_unload,2,,0.0,0.01041,0.07666,-1.87311,-0.00072,-0.00037,0.00029,0.00735,0.07228,-1.87757,-0.0008,-0.00027,0.00025,-0.0163,0.04159,-1.87417,3,37.9299,362.793,36.2372,179.2061,0.4051,-102.8264,0.0076,23.9248,0.4911
58,000058.png,False,1788894060.624023,1788894060.564023,normal_unload,2,,0.0,0.00102,0.06108,-1.78643,-0.00043,-0.00046,0.00033,-0.00207,0.05665,-1.79093,-0.00051,-0.00036,0.00029,-0.01725,0.02479,-1.78722,3,37.9316,362.7867,36.2479,179.2072,0.4025,-102.8264,0.0071,23.9354,0.4804
59,000059.png,False,1788894060.819890,1788894060.759890,normal_unload,2,,0.0,0.00777,0.06497,-1.78618,-0.00036,-0.00034,0.00044,0.00465,0.0605,-1.79073,-0.00045,-0.00024,0.0004,-0.01335,0.03154,-1.78705,3,37.9306,362.7844,36.2517,179.2073,0.4023,-102.8264,0.0019,23.9392,0.4767
60,000060.png,False,1788894061.016022,1788894060.956023,normal_unload,2,,0.0,0.00172,0.05293,-1.68425,-0.00016,-0.0005,0.00029,-0.00143,0.04841,-1.68885,-0.00024,-0.0004,0.00025,-0.01327,0.01972,-1.68491,3,37.9328,362.7823,36.2593,179.2083,0.4004,-102.8266,0.0031,23.9467,0.4691
61,000061.png,False,1788894061.211907,1788894061.151907,normal_unload,2,,0.0,0.00585,0.05081,-1.49186,-0.0004,-0.00054,0.00024,0.00267,0.04626,-1.4965,-0.00049,-0.00044,0.0002,-0.00998,0.02303,-1.49253,3,37.9319,362.7817,36.282,179.2081,0.4005,-102.8266,0.0083,23.9694,0.4464
62,000062.png,False,1788894061.403925,1788894061.343925,normal_unload,2,,0.0,0.00349,0.05029,-1.46843,-0.00023,-0.00041,-5e-05,0.00028,0.04568,-1.47311,-0.00032,-0.00031,-9e-05,-0.01192,0.02177,-1.46908,3,37.9319,362.7845,36.2834,179.2079,0.4009,-102.8268,0.003,23.9709,0.445
63,000063.png,False,1788894061.599936,1788894061.539936,normal_unload,2,,0.0,0.01111,0.05964,-1.31759,-0.00056,-0.00034,0.00023,0.00787,0.05499,-1.32232,-0.00065,-0.00023,0.00018,-0.01104,0.0361,-1.31845,2,37.9305,362.7883,36.3049,179.2077,0.402,-102.8266,0.0021,23.9924,0.4234
64,000064.png,False,1788894061.795948,1788894061.735948,normal_unload,2,,0.0,0.00788,0.05807,-1.30785,-0.00048,-0.00026,0.0001,0.0046,0.05338,-1.31262,-0.00057,-0.00015,5e-05,-0.01312,0.03327,-1.30867,3,37.9304,362.791,36.3105,179.2074,0.4021,-102.8266,0.0061,23.9981,0.4177
65,000065.png,False,1788894062.184089,1788894062.124089,normal_unload,2,,0.0,0.01067,0.04476,-1.06742,-0.00031,-0.00024,0.0,0.00733,0.03998,-1.07228,-0.0004,-0.00013,-5e-05,-0.00572,0.02699,-1.06806,3,37.9312,362.7862,36.3444,179.2077,0.4018,-102.8268,0.009,24.0319,0.384
66,000066.png,False,1788894062.575989,1788894062.515989,normal_unload,2,,0.0,0.00766,0.03723,-0.91096,-0.00024,-0.00021,0.00019,0.00426,0.03237,-0.91591,-0.00034,-0.0001,0.00014,-0.00565,0.02148,-0.91148,3,37.9311,362.785,36.3786,179.2083,0.4006,-102.8273,0.0011,24.0661,0.3498
67,000067.png,False,1788894062.771996,1788894062.711997,normal_unload,2,,0.0,0.00559,0.03554,-0.82413,-0.00019,-0.0001,0.00044,0.00217,0.03063,-0.82913,-0.00029,1e-05,0.00039,-0.0072,0.02037,-0.82464,3,37.9322,362.7834,36.3929,179.2084,0.3997,-102.8273,0.0036,24.0803,0.3356
68,000068.png,False,1788894062.968011,1788894062.908011,normal_unload,2,,0.0,0.00965,0.03788,-0.67193,-0.00025,3e-05,0.00027,0.00619,0.03292,-0.67697,-0.00035,0.00014,0.00022,-0.00591,0.02686,-0.67251,3,37.9305,362.7894,36.4256,179.2076,0.4017,-102.8273,0.0084,24.1131,0.3027
69,000069.png,False,1788894063.160125,1788894063.100125,normal_unload,2,,0.0,0.01121,0.03546,-0.59817,-0.0003,-2e-05,0.00019,0.00772,0.03047,-0.60326,-0.0004,9e-05,0.00014,-0.00386,0.02673,-0.59872,3,37.9318,362.7877,36.4373,179.2079,0.4014,-102.8273,0.0024,24.1248,0.2911
70,000070.png,False,1788894063.356116,1788894063.296116,normal_unload,2,,0.0,0.0107,0.03535,-0.48451,-0.00029,-7e-05,0.00024,0.00718,0.03032,-0.48964,-0.00039,4e-05,0.00019,-0.00504,0.0282,-0.48507,3,37.9313,362.7881,36.4687,179.2079,0.4009,-102.8275,0.003,24.1562,0.2597
71,000071.png,False,1788894063.552045,1788894063.492045,normal_unload,2,,0.0,0.01076,0.02973,-0.46139,-0.00027,-0.0,0.00034,0.00721,0.02465,-0.46656,-0.00037,0.00011,0.00029,-0.00234,0.02373,-0.46186,3,37.9312,362.7885,36.4768,179.2082,0.4008,-102.8277,0.0088,24.1643,0.2515
72,000072.png,False,1788894063.748176,1788894063.688176,normal_unload,2,,0.0,0.0129,0.03356,-0.33818,-0.00027,0.00016,0.00041,0.00932,0.02843,-0.3434,-0.00037,0.00027,0.00036,-0.00325,0.03009,-0.33874,3,37.9307,362.7954,36.5192,179.2077,0.402,-102.8277,0.0038,24.2068,0.2091
73,000073.png,False,1788894063.940168,1788894063.880168,normal_unload,2,,0.0,0.01292,0.02706,-0.28233,-0.00039,-0.0,9e-05,0.00931,0.02189,-0.28759,-0.00049,0.00011,4e-05,-0.00037,0.02536,-0.28278,3,37.9306,362.7929,36.529,179.2078,0.4016,-102.8277,0.0061,24.2166,0.1992
74,000074.png,False,1788894064.136149,1788894064.076149,normal_unload,2,,0.0,0.01271,0.02131,-0.15701,-0.00019,0.00011,0.00031,0.00908,0.01609,-0.16232,-0.00029,0.00022,0.00026,0.00146,0.02229,-0.15738,3,37.9297,362.7923,36.5853,179.2076,0.4022,-102.8275,0.0033,24.2728,0.143
75,000075.png,False,1788894064.332083,1788894064.272083,normal_unload,2,,0.0,0.01311,0.02116,-0.14431,-0.00018,1e-05,0.00022,0.00945,0.01591,-0.14967,-0.00028,0.00013,0.00017,0.00179,0.02257,-0.14468,3,37.9297,362.7921,36.5917,179.2077,0.402,-102.8277,0.0021,24.2792,0.1366
76,000076.png,False,1788894065.112127,1788894065.052127,normal_unload,2,,0.0,0.00816,0.00452,-0.0279,0.00016,-0.0,0.00033,0.00437,-0.00091,-0.03343,6e-05,0.00012,0.00027,0.005,0.00755,-0.02799,3,37.9307,362.7895,36.7009,179.2086,0.3991,-102.8279,0.0062,24.3884,0.0274
77,000077.png,False,1788894065.892169,1788894065.832169,dwell,2,,0.0,-0.00364,-0.01217,0.01885,0.0006,-0.00021,0.00029,-0.00755,-0.01778,0.01315,0.00049,-8e-05,0.00024,0.00279,-0.01206,0.01907,3,37.9229,362.7325,36.7693,179.2104,0.3948,-102.8288,0.0092,24.4559,-0.0401
78,000078.png,False,1788894066.868315,1788894066.808315,normal_load,3,,2.0,0.00324,0.00141,-0.02024,0.0002,-0.00019,0.00034,-0.00082,-0.00441,-0.02617,9e-05,-6e-05,0.00028,0.00224,0.00252,-0.02027,3,37.9107,362.7842,36.741,179.2093,0.3979,-102.8268,0.0161,24.4286,-0.0127
79,000079.png,False,1788894067.260350,1788894067.200350,normal_load,3,,2.0,0.00246,-0.00376,-0.03022,0.0003,-0.00025,0.0,-0.00167,-0.00967,-0.03624,0.00019,-0.00012,-6e-05,0.00422,-0.00251,-0.03015,3,37.914,362.771,36.6701,179.2129,0.39,-102.8268,0.0046,24.3574,0.0585
80,000080.png,False,1788894067.452340,1788894067.392340,normal_load,3,,2.0,0.00033,-0.00304,-0.0523,0.00022,-0.00019,0.00024,-0.00383,-0.009,-0.05837,0.00011,-6e-05,0.00018,0.00216,-0.00331,-0.05224,3,37.915,362.7704,36.6726,179.2124,0.3907,-102.8272,0.0047,24.3599,0.0559
81,000081.png,False,1788894067.648341,1788894067.588341,normal_load,3,,2.0,0.00393,0.00267,-0.19022,0.0002,-0.00023,0.00035,-0.00026,-0.00332,-0.19632,9e-05,-0.0001,0.00029,0.00339,0.00123,-0.19024,3,37.9154,362.775,36.5939,179.2117,0.3918,-102.8272,0.0097,24.2813,0.1345
82,000082.png,False,1788894067.844274,1788894067.784274,normal_load,3,,2.0,0.00299,0.00328,-0.21424,0.00023,-0.00028,0.0004,-0.00123,-0.00277,-0.2204,0.00011,-0.00015,0.00034,0.00244,0.0009,-0.21427,3,37.9152,362.7753,36.5879,179.2119,0.3917,-102.827,0.004,24.2753,0.1405
