sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,hardness,thickness_mm,suspect_hardware,density_px_per_mm2
hard_1mm_r1,8,5,cycle,0,0.0508351773023605,0.0575248897075653,0.0731792747974395,0.1058687344193458,0.1901154965162277,0.8909128308296204,0.0699529722332954,0.1297188848257064,0.6788944005966187,0.0851368606090545,0.1075981929898262,119,55,none,1,595,231,174,1.991030097007752,0.0016947170952335,0.0010626913281157,0.0001153184057329,30,30,30,0.2555519568819959,0.3026392470190535,64,64,1,3.6,hard,1,False,0.16359452992262702
hard_1mm_r1,8,5,cycle,1,0.0302255749702453,0.0401974581182003,0.083163745701313,0.1004509180784225,0.1901154965162277,0.9017921686172484,0.0403970405459404,0.1297188848257064,0.882619321346283,0.0506134778261184,0.042055744677782,119,55,none,1,595,231,174,1.991030097007752,0.0009766541188582,0.0007846616790629,0.0001105455085053,30,30,30,0.2932676363392036,0.2665260818613556,64,64,1,1.9,hard,1,False,0.16359452992262702
hard_1mm_r1,8,5,cycle,2,0.0380133613944053,0.0315355136990547,0.1319614648818969,0.3628897368907928,0.1901154965162277,-0.281703233718872,0.0459297895431518,0.1297188848257064,0.8332480192184448,0.0571580454707145,0.0440148189663887,119,55,none,1,595,231,174,1.991030097007752,0.001286692218855,0.0018121394095942,0.000109303771751,30,30,29,0.2808881310855641,0.3149389580730752,64,64,1,2.0,hard,1,False,0.16359452992262702
hard_1mm_r1,16,9,cycle,0,0.0209885891526937,0.0251139476895332,0.0902443081140518,0.1058224886655807,0.1901154965162277,0.8910081386566162,0.0271961968392133,0.1297188848257064,0.9092519283294678,0.0305279344320297,0.0720811262726783,119,55,none,1,595,231,174,1.991030097007752,0.0007720101275481,0.0006092357798479,0.0001060451540979,30,30,30,0.2930006315728196,0.2468729514580268,64,64,1,3.5,hard,1,False,0.6543781196905081
hard_1mm_r1,16,9,cycle,1,0.0218072701245546,0.0256568975746631,0.03855612128973,0.0491154976189136,0.1901154965162277,0.9765212535858154,0.0315382219851017,0.1297188848257064,0.9394508600234984,0.0308180581778287,0.0356311239302158,119,55,none,1,595,231,174,1.991030097007752,0.000726927712094,0.0006088438094593,9.941901953425258e-05,30,30,29,0.2732450982101825,0.2334128705970136,64,64,1,2.1,hard,1,False,0.6543781196905081
hard_1mm_r1,16,9,cycle,2,0.0304075293242931,0.0310217924416065,0.0362710803747177,0.0462918654084205,0.1901154965162277,0.97914320230484,0.0402776338160038,0.1297188848257064,0.9043481349945068,0.0350889228284359,0.0390218123793602,119,55,none,1,595,231,174,1.991030097007752,0.0008409240981563,0.0006784492870792,9.590050467522816e-05,30,30,29,0.3028066274498691,0.2524703219855502,64,64,1,2.0,hard,1,False,0.6543781196905081
hard_1mm_r1,32,18,cycle,0,0.0161513313651084,0.0165925100445747,0.0359368026256561,0.0456048026680946,0.1901154965162277,0.9797577261924744,0.0185415279120206,0.1297188848257064,0.9726433753967284,0.0223178584128618,0.0383208654820919,119,55,none,1,595,231,174,1.991030097007752,0.0005672704428434,0.0004841693444177,0.000106432926259,30,30,29,0.2983274507923286,0.2258429919486438,64,64,1,3.0,hard,1,False,2.6175124787620323
hard_1mm_r1,32,18,cycle,1,0.0181752890348434,0.0316533483564853,0.0657802894711494,0.1026942357420921,0.1901154965162277,0.8973567485809326,0.0301443524658679,0.1297188848257064,0.9360370635986328,0.0298302602022886,0.0603647418320179,119,55,none,1,595,231,174,1.991030097007752,0.0012065696064382,0.0008661723695695,0.0001130570235545,30,30,30,0.2629377076605789,0.2744690329481513,64,64,1,2.0,hard,1,False,2.6175124787620323
hard_1mm_r1,32,18,cycle,2,0.0249191708862781,0.0257605127990245,0.0539974123239517,0.0664078667759895,0.1901154965162277,0.9570782780647278,0.0264634285122156,0.1297188848257064,0.9541876316070556,0.029844457283616,0.0580417029559612,119,55,none,1,595,231,174,1.991030097007752,0.0005444578710012,0.0006186422542668,0.0001179184546344,30,30,28,0.3212969643729074,0.2430530234332724,64,64,1,2.0,hard,1,False,2.6175124787620323
hard_1mm_r1,48,27,cycle,0,0.0195451322942972,0.0199059955775737,0.0839902535080909,0.0935748890042305,0.1901154965162277,0.9147769808769226,0.0244307406246662,0.1297188848257064,0.958221971988678,0.0261318646371364,0.0521177388727664,119,55,none,1,595,231,174,1.991030097007752,0.0006297553190961,0.0006019730935804,0.0001214980220538,30,30,29,0.2408516955976726,0.2525814436214826,64,64,1,2.7,hard,1,False,5.889403077214571
hard_1mm_r1,48,27,cycle,1,0.0322283096611499,0.0223968531936407,0.0603740029036998,0.0808996185660362,0.1901154965162277,0.9363012313842772,0.0347459465265274,0.1297188848257064,0.869811475276947,0.0449179597198963,0.0656915605068206,119,55,none,1,595,231,174,1.991030097007752,0.0008156147086992,0.000618286372628,0.0001291668304475,30,30,30,0.2598330914473333,0.2563172460118413,64,64,1,1.7,hard,1,False,5.889403077214571
hard_1mm_r1,48,27,cycle,2,0.020154820755124,0.0234897658228874,0.0683121606707573,0.0910924151539802,0.1901154965162277,0.919238805770874,0.0270678605884313,0.1297188848257064,0.9414475560188292,0.0262161213904619,0.0470526255667209,119,55,none,1,595,231,174,1.991030097007752,0.0005832056049257,0.0003727426519617,0.0001099270448321,30,30,29,0.2454914125073857,0.2462891954364198,64,64,1,1.7,hard,1,False,5.889403077214571
hard_1mm_r1,80,45,cycle,0,0.0153395673260092,0.016599478200078,0.1079395413398742,0.1118067130446434,0.1901154965162277,0.8783326745033264,0.0170304700732231,0.1297188848257064,0.9811086058616638,0.0192444659769535,0.1271283626556396,119,55,none,1,595,231,174,1.991030097007752,0.0004308005736675,0.0006885536713525,0.0001012249485938,30,30,28,0.2333943807778238,0.2669381806344697,64,64,1,2.8,hard,1,False,16.3594529922627
hard_1mm_r1,80,45,cycle,1,0.0178976655006408,0.0231617707759141,0.0693055763840675,0.0784586668014526,0.1901154965162277,0.9400871396064758,0.0196634698659181,0.1297188848257064,0.974237859249115,0.0200831592082977,0.0495039969682693,119,55,none,1,595,231,174,1.991030097007752,0.000639084726572,0.0005679414607584,0.0001268906635232,30,30,20,0.2578914313757119,0.2633777758775851,64,64,1,1.8,hard,1,False,16.3594529922627
hard_1mm_r1,80,45,cycle,2,0.0236742794513702,0.0180518180131912,0.0259421672672033,0.0317778177559375,0.1901154965162277,0.990171492099762,0.0225649885833263,0.1297188848257064,0.9664954543113708,0.0275853425264358,0.0242771804332733,119,55,none,1,595,231,174,1.991030097007752,0.000950496410951,0.000688198080752,0.0001147728980868,30,30,29,0.2369427889335055,0.2834476371864219,64,64,1,1.8,hard,1,False,16.3594529922627
hard_1mm_r1,160,90,cycle,0,0.0188694130629301,0.038178589195013,0.0423444025218486,0.0516802035272121,0.1901154965162277,0.9740052223205566,0.0268455129116773,0.1297188848257064,0.9520318508148192,0.0281219240278005,0.0460324734449386,119,55,none,1,595,231,174,1.991030097007752,0.0006213330198079,0.0004299472202546,0.0001164109853561,30,30,26,0.1793486122323685,0.2543560952851266,64,64,1,3.6,hard,1,False,65.4378119690508
hard_1mm_r1,160,90,cycle,1,0.021779553964734,0.0237717051059007,0.0283975601196289,0.0364809855818748,0.1901154965162277,0.9870469570159912,0.0253078807145357,0.1297188848257064,0.9599552154541016,0.0265764575451612,0.0321187488734722,119,55,none,1,595,231,174,1.991030097007752,0.0007923044031485,0.000994959147647,0.0001123255860875,30,30,30,0.1740365974041594,0.2649214154198056,64,64,1,2.6,hard,1,False,65.4378119690508
hard_1mm_r1,160,90,cycle,2,0.0343617834150791,0.0244589149951934,0.0365184023976326,0.0440585725009441,0.1901154965162277,0.9811070561408995,0.0308741871267557,0.1297188848257064,0.9429223537445068,0.0310352761298418,0.0269138179719448,119,55,none,1,595,231,174,1.991030097007752,0.0005002283141948,0.000435919733718,0.0001319307048106,30,30,29,0.1621974279900558,0.2668692105776303,64,64,1,2.6,hard,1,False,65.4378119690508
hard_1mm_r1,320,180,cycle,0,0.0174929499626159,0.0302043966948986,0.0383579730987548,0.0474987663328647,0.1901154965162277,0.9780414700508118,0.0210831779986619,0.1297188848257064,0.9690157771110536,0.0232134442776441,0.0332899503409862,119,55,none,1,595,231,174,1.991030097007752,0.0004489582788664,0.0004681281279772,0.0001250081259058,30,30,26,0.1726248003855472,0.2449355517630969,64,64,1,8.4,hard,1,False,261.7512478762032
hard_1mm_r1,320,180,cycle,1,0.0152423707768321,0.0192801617085933,0.0239650085568428,0.0293931514024734,0.1901154965162277,0.9915912747383118,0.0217241384088993,0.1297188848257064,0.9680615663528442,0.0194568000733852,0.0267900060862302,119,55,none,1,595,231,174,1.991030097007752,0.0009672855958342,0.00039642243064,0.0001138003426603,30,30,30,0.148115691016702,0.2340165629531398,64,64,1,7.2,hard,1,False,261.7512478762032
hard_1mm_r1,320,180,cycle,2,0.0175778623670339,0.0257921442389488,0.0328350290656089,0.0422458015382289,0.1901154965162277,0.9826297760009766,0.0251818113029003,0.1297188848257064,0.9599304795265198,0.0262973960489034,0.0398361310362815,119,55,none,1,595,231,174,1.991030097007752,0.0006791214691475,0.0004149352607782,0.0001275951071875,30,30,28,0.1977388574295685,0.2329595615337421,64,64,1,7.2,hard,1,False,261.7512478762032
hard_1mm_r1,426,240,cycle,0,0.0252418294548988,0.0214097630232572,0.0235354602336883,0.0296738389879465,0.1901154965162277,0.9914299249649048,0.0254389494657516,0.1297188848257064,0.957794725894928,0.0274005420506,0.0287388283759355,119,55,none,1,595,231,174,1.991030097007752,0.000659636571072,0.0005342708318494,0.0001216211821883,30,30,30,0.1577949387686593,0.2330732015304235,64,64,1,13.7,hard,1,False,463.88251425372886
hard_1mm_r1,426,240,cycle,1,0.0166621841490268,0.0264407526701688,0.0248744897544384,0.0333374626934528,0.1901154965162277,0.9891830682754515,0.0251456126570701,0.1297188848257064,0.9590237736701964,0.0262409541755914,0.0334471873939037,119,55,none,1,595,231,174,1.991030097007752,0.0006130296969786,0.0004689253692049,9.843774751061574e-05,30,30,30,0.1465443991813339,0.2335023756151075,64,64,1,12.1,hard,1,False,463.88251425372886
hard_1mm_r1,426,240,cycle,2,0.0392959378659725,0.0236366149038076,0.0242258328944444,0.031246243044734,0.1901154965162277,0.990497589111328,0.0323198027908802,0.1297188848257064,0.9379499554634094,0.0363589264452457,0.0264852046966552,119,55,none,1,595,231,174,1.991030097007752,0.0004963863757438,0.0004290713986847,0.0001035846726153,30,30,29,0.1503690366985417,0.235490489315677,64,64,1,12.1,hard,1,False,463.88251425372886
hard_1mm_r1,640,360,cycle,0,0.0175217725336551,0.0177535228431224,0.0303027462214231,0.0384086482226848,0.1901154965162277,0.9856419563293456,0.0219893380999565,0.1297188848257064,0.9689567685127258,0.0233109313994646,0.040205106139183,119,55,none,1,595,231,174,1.991030097007752,0.0004444603691808,0.000438718649093,0.0001201302802655,30,30,30,0.1663514960713747,0.2364062313393597,64,32,2,26.3,hard,1,False,1047.0049915048128
hard_1mm_r1,640,360,cycle,1,0.0195559449493885,0.0220432691276073,0.0264606233686208,0.0329326540231704,0.1901154965162277,0.9894441962242126,0.0229700878262519,0.1297188848257064,0.9638859033584596,0.0272492002695798,0.0332023203372955,119,55,none,1,595,231,174,1.991030097007752,0.000639725360088,0.0006101357284933,0.000115904964332,30,30,21,0.2195500197530794,0.2212227928690064,64,32,2,25.8,hard,1,False,1047.0049915048128
hard_1mm_r1,640,360,cycle,2,0.0233955960720777,0.0187331456691026,0.0580286532640457,0.064760684967041,0.1901154965162277,0.9591811299324036,0.0239644590765237,0.1297188848257064,0.961043655872345,0.0234153792262077,0.0554822832345962,119,55,none,1,595,231,174,1.991030097007752,0.0004545199335552,0.0007982852403074,0.0001145851201727,30,30,29,0.1769438959971195,0.2531847984759838,64,32,2,25.9,hard,1,False,1047.0049915048128
hard_1mm_r1,854,480,cycle,0,0.0213044397532939,0.0261605884879827,0.0327249839901924,0.0410074926912784,0.1901154965162277,0.9836331605911256,0.0265112314373254,0.1297188848257064,0.9538687467575072,0.0313696302473545,0.0345819629728794,119,55,none,1,595,231,174,1.991030097007752,0.0006192472646944,0.0005097785033285,0.0001034887536661,30,30,25,0.1835032318820472,0.2225906601199856,64,16,4,46.9,hard,1,False,1864.2516903914163
