principle,probe,measure,group_by,group,n_units,depth_mm,median,q1,q3
9DTact,ball8,diameter_px,hardness,soft,6,0.2420881632309232,98.46560674611489,96.14288167723359,144.83937114119146
9DTact,ball8,diameter_px,hardness,soft,6,0.29204808958796186,164.63155077967764,144.38776594121083,190.7718549545824
9DTact,ball8,diameter_px,hardness,soft,6,0.34200801594500047,190.6137655303794,172.54078556375754,222.0605361148306
9DTact,ball8,diameter_px,hardness,soft,6,0.39196794230203913,231.1888589100903,223.89241959558575,257.3199206868469
9DTact,ball8,diameter_px,hardness,soft,6,0.4419278686590778,259.0906532648803,252.4585176504322,279.89597638200155
9DTact,ball8,diameter_px,hardness,soft,6,0.4918877950161164,290.654673445328,275.55928930360295,304.30314498998507
9DTact,ball8,diameter_px,hardness,soft,6,0.541847721373155,304.9214921872026,276.8275291693866,307.4949364465687
9DTact,ball8,diameter_px,hardness,soft,6,0.5918076477301937,316.09703735493866,279.77707173328514,321.1357860940042
9DTact,ball8,diameter_px,hardness,soft,6,0.6417675740872323,335.4185293641167,297.8834605186103,348.3771850600585
9DTact,ball8,diameter_px,hardness,soft,6,0.6917275004442709,332.85865111854395,265.38344386011,364.46201682048945
9DTact,ball8,diameter_px,hardness,soft,6,0.7416874268013095,333.23912210072274,192.9452726536922,367.2872098446668
9DTact,ball8,diameter_px,hardness,soft,6,0.7916473531583482,334.371097248065,205.17432977543154,384.0458722732897
9DTact,ball8,diameter_px,hardness,soft,6,0.8416072795153868,348.7885903853871,257.290797969173,400.8045347019126
9DTact,ball8,diameter_px,hardness,soft,6,0.8915672058724254,365.79888268684516,275.11355426497016,418.0226889308246
9DTact,ball8,diameter_px,hardness,soft,6,0.941527132229464,388.8075681809603,295.43833255042114,419.95632880440894
9DTact,ball8,diameter_px,hardness,soft,6,0.9914870585865027,401.97446982742554,312.9720721274557,434.80353400145924
9DTact,ball8,diameter_px,hardness,soft,6,1.0414469849435415,409.1991429255231,342.0258154526864,449.65073919850965
9DTact,ball8,diameter_px,hardness,soft,6,1.09140691130058,416.4238160236206,356.4560706620471,461.4845277657945
9DTact,ball8,diameter_px,hardness,soft,6,1.1413668376576187,442.17359944147677,369.91388707962005,465.96845359416415
9DTact,ball8,diameter_px,hardness,soft,6,1.1913267640146574,451.24027643415263,380.2659640623402,478.86097443939093
9DTact,ball8,diameter_px,hardness,soft,6,1.241286690371696,460.3069534268284,398.7156412207096,493.7238996412364
9DTact,ball8,diameter_px,hardness,soft,6,1.2912466167287346,472.8475070508809,411.1055976377885,503.8659063899277
9DTact,ball8,diameter_px,hardness,soft,6,1.3412065430857734,472.2770962859072,414.8026263771581,506.8485147977829
9DTact,ball8,diameter_px,hardness,soft,6,1.3911664694428119,480.1484632806753,424.72579379101836,515.8186733538822
9DTact,ball8,diameter_px,hardness,soft,6,1.4411263957998506,488.01983027544344,442.7413227674569,530.2709674283353
9DTact,ball8,diameter_px,hardness,soft,6,1.4910863221568893,500.38393497720836,452.0419327439019,543.4848890873652
9DTact,ball8,diameter_px,hardness,soft,6,1.5410462485139278,508.71195418827745,450.14861690151236,528.4543183671634
9DTact,ball8,diameter_px,hardness,soft,6,1.5910061748709665,515.946474308205,468.3828056630654,534.4641299198671
9DTact,ball8,diameter_px,hardness,soft,6,1.640966101228005,522.3170426080195,474.92146406301737,540.4739414725706
9DTact,ball8,diameter_px,hardness,soft,6,1.6909260275850437,528.6876109078341,484.0755200781637,552.6516378631212
9DTact,ball8,diameter_px,hardness,soft,6,1.7408859539420825,490.24402342346895,488.85418018186033,541.3872238158157
9DTact,ball8,diameter_px,hardness,soft,6,1.790845880299121,506.35951941180684,501.38602309029045,551.4243000592992
9DTact,ball8,diameter_px,hardness,soft,6,1.8408058066561597,512.1488906472467,507.36496038066304,556.2983139263338
9DTact,ball8,diameter_px,hardness,soft,6,1.8907657330131982,520.2090228048153,519.0122973640008,562.3077082544326
9DTact,ball8,diameter_px,hardness,medium,5,0.541847721373155,191.99266892554687,141.16604990307994,234.5523345424204
9DTact,ball8,diameter_px,hardness,medium,5,0.5918076477301937,194.04344109846704,188.48704993799683,248.45811886446126
9DTact,ball8,diameter_px,hardness,medium,5,0.6417675740872323,211.11906287370596,203.6066380725466,269.8763279876615
9DTact,ball8,diameter_px,hardness,medium,5,0.6917275004442709,249.1496636939018,223.64732456910457,301.77202663334015
9DTact,ball8,diameter_px,hardness,medium,5,0.7416874268013095,277.0948822928923,245.9566112370074,310.2295443782723
9DTact,ball8,diameter_px,hardness,medium,5,0.7916473531583482,292.5925618542577,259.3118658927746,326.00001459204793
9DTact,ball8,diameter_px,hardness,medium,5,0.8416072795153868,308.09024141562304,272.6671205485418,341.7704848058235
9DTact,ball8,diameter_px,hardness,medium,5,0.8915672058724254,336.91424238025866,306.0118573092143,357.5409550195991
9DTact,ball8,diameter_px,hardness,medium,5,0.941527132229464,325.15256230451826,275.8895502975193,353.7767516204934
9DTact,ball8,diameter_px,hardness,medium,5,0.9914870585865027,349.11117145172597,291.4274874047985,371.25632940816007
9DTact,ball8,diameter_px,hardness,medium,5,1.0414469849435415,373.0697805989338,306.9654245120778,388.73590719582677
9DTact,ball8,diameter_px,hardness,medium,5,1.09140691130058,370.9387062602091,341.1219582524065,379.3870965756252
9DTact,ball8,diameter_px,hardness,medium,5,1.1413668376576187,383.8783415232386,365.5311624789609,391.0380734727862
9DTact,ball8,diameter_px,hardness,medium,5,1.1913267640146574,403.75014928644674,381.94048679659005,411.13744068536334
9DTact,ball8,diameter_px,hardness,medium,5,1.241286690371696,423.62195704965484,398.34981111421916,431.2368078979404
9DTact,ball8,diameter_px,hardness,medium,5,1.2912466167287346,423.1135369816853,390.6366219825686,429.2115227694806
9DTact,ball8,diameter_px,hardness,medium,5,1.3412065430857734,432.6241302383204,408.11942528975993,444.5717691820305
9DTact,ball8,diameter_px,hardness,medium,5,1.3911664694428119,449.18686246785364,425.60222859695114,459.93201559458026
9DTact,ball8,diameter_px,hardness,medium,5,1.4411263957998506,465.74959469738695,443.0850319041424,475.29226200713015
9DTact,ball8,diameter_px,hardness,medium,5,1.4910863221568893,465.79825038558243,440.40446218941855,468.7289029309631
9DTact,ball8,diameter_px,hardness,medium,5,1.5410462485139278,474.30002176532855,456.73454926466235,475.8240749256223
9DTact,ball8,diameter_px,hardness,medium,5,1.5910061748709665,482.9192469202815,473.06463633990626,489.49483789291327
9DTact,ball8,diameter_px,hardness,medium,5,1.640966101228005,490.0144189149407,489.3947234151501,504.68965402049787
9DTact,ball8,diameter_px,hardness,medium,5,1.6909260275850437,490.8037522697076,475.3505256594104,510.52960286309025
9DTact,ball8,diameter_px,hardness,medium,5,1.7408859539420825,495.7194967784796,479.8149084120811,501.6605203216943
9DTact,ball8,diameter_px,hardness,medium,5,1.790845880299121,510.02372358528874,490.34403547701163,512.8249856641297
9DTact,ball8,diameter_px,hardness,medium,5,1.8408058066561597,523.6509516210324,500.5346631564096,523.9894510065651
9DTact,ball8,diameter_px,hardness,hard,5,0.541847721373155,147.14902486009623,101.08711331509988,189.7070577923805
9DTact,ball8,diameter_px,hardness,hard,5,0.5918076477301937,141.89863901012524,94.12585077068874,205.01755842798724
9DTact,ball8,diameter_px,hardness,hard,5,0.6417675740872323,204.3037920635593,155.78606325920097,254.41207246022748
9DTact,ball8,diameter_px,hardness,hard,5,0.6917275004442709,235.97677237430986,190.30241619644744,281.32590832210036
9DTact,ball8,diameter_px,hardness,hard,5,0.7416874268013095,262.1236756241714,220.89055428982175,297.32324393716453
9DTact,ball8,diameter_px,hardness,hard,5,0.7916473531583482,280.50911020089853,240.26398970451538,324.80500129063375
9DTact,ball8,diameter_px,hardness,hard,5,0.8416072795153868,298.8945447776255,278.2090943982108,357.656004754409
9DTact,ball8,diameter_px,hardness,hard,5,0.8915672058724254,317.2799793543526,295.19148731128047,370.196230923833
9DTact,ball8,diameter_px,hardness,hard,5,0.941527132229464,359.69245168894884,309.60569281912205,379.379495793228
9DTact,ball8,diameter_px,hardness,hard,5,0.9914870585865027,370.9907549663678,324.86846694669754,388.5627606626229
9DTact,ball8,diameter_px,hardness,hard,5,1.0414469849435415,382.28905824378677,356.50467496718255,409.79952879459813
9DTact,ball8,diameter_px,hardness,hard,5,1.09140691130058,397.4642041099059,371.2775134806538,417.0268900623631
9DTact,ball8,diameter_px,hardness,hard,5,1.1413668376576187,424.2542513301281,385.83046145962743,425.4146431202329
9DTact,ball8,diameter_px,hardness,hard,5,1.1913267640146574,415.5097922627925,388.9330561785326,432.2576948726445
9DTact,ball8,diameter_px,hardness,hard,5,1.241286690371696,427.147149053897,401.1360052631732,446.2807831924535
9DTact,ball8,diameter_px,hardness,hard,5,1.2912466167287346,436.89556061177944,403.7256396999315,456.98237620732834
9DTact,ball8,diameter_px,hardness,hard,5,1.3412065430857734,446.65660998551937,413.2994723960535,471.988243995412
9DTact,ball8,diameter_px,hardness,hard,5,1.3911664694428119,458.77362741262385,428.35368853848223,481.1240721175489
9DTact,ball8,diameter_px,hardness,hard,5,1.4411263957998506,472.4592603093981,441.0031769406156,495.0175511844858
9DTact,ball8,diameter_px,thickness_mm,1,5,0.14216831051684592,127.3053323536736,79.87041800426175,171.18238443886653
9DTact,ball8,diameter_px,thickness_mm,1,5,0.19212823687388458,162.9419809744937,126.18117911619169,179.68882789372853
9DTact,ball8,diameter_px,thickness_mm,1,5,0.2420881632309232,178.52474460615502,129.97931890206848,199.60779305757404
9DTact,ball8,diameter_px,thickness_mm,1,5,0.29204808958796186,194.10750823781638,134.33142873683863,219.52675822141953
9DTact,ball8,diameter_px,thickness_mm,1,5,0.34200801594500047,202.23506024505738,148.33583150323437,235.8388357045264
9DTact,ball8,diameter_px,thickness_mm,1,5,0.39196794230203913,209.6136324399285,160.93796435980983,253.38144451946286
9DTact,ball8,diameter_px,thickness_mm,1,5,0.4419278686590778,222.91913421548347,175.67304653673386,276.0625584143312
9DTact,ball8,diameter_px,thickness_mm,1,5,0.4918877950161164,250.29615342481662,201.2155238986922,298.74367230919955
9DTact,ball8,diameter_px,thickness_mm,1,5,0.541847721373155,232.2650907246648,195.30889822885044,277.1120001592939
9DTact,ball8,diameter_px,thickness_mm,1,5,0.5918076477301937,256.27889883374837,194.04344109846704,302.87279663045547
9DTact,ball8,diameter_px,thickness_mm,1,5,0.6417675740872323,292.1891844660531,219.97396161251342,328.633593101617
9DTact,ball8,diameter_px,thickness_mm,1,5,0.6917275004442709,313.9943556679266,265.38344386011,354.3943895727785
9DTact,ball8,diameter_px,thickness_mm,1,5,0.7416874268013095,326.79767467937336,299.7308234419917,367.4671395397378
9DTact,ball8,diameter_px,thickness_mm,1,5,0.7916473531583482,339.60099369082013,292.76727976111675,386.7361914527152
9DTact,ball8,diameter_px,thickness_mm,1,5,0.8416072795153868,359.4479734167462,312.37477206020156,406.0052433656926
9DTact,ball8,diameter_px,thickness_mm,1,5,0.8915672058724254,370.196230923833,336.2971738328268,417.5698872953246
9DTact,ball8,diameter_px,thickness_mm,1,5,0.941527132229464,379.379495793228,362.55213078456876,402.50985544461315
9DTact,ball8,diameter_px,thickness_mm,1,5,0.9914870585865027,388.5627606626229,381.95784237618557,412.73593772509275
9DTact,ball8,diameter_px,thickness_mm,1,5,1.0414469849435415,409.79952879459813,389.4790968710669,431.9833951558795
9DTact,ball8,diameter_px,thickness_mm,1,5,1.09140691130058,417.0268900623631,397.0003513659481,451.2308525866661
9DTact,ball8,diameter_px,thickness_mm,1,5,1.1413668376576187,425.48526829744924,424.2542513301281,446.7846288277109
