sensor,axis,density_px_per_mm2,median,min,max,suspect_hardware
soft_1mm_r1,Tx,0.1731653342341389,0.0008579074055887,0.0007614084752276,0.0009942858014255,False
soft_1mm_r1,Tx,0.6926613369365556,0.0007011339184828,0.0006038037245161,0.0009641263750381,False
soft_1mm_r1,Tx,2.7706453477462225,0.0006576711894012,0.000550688651856,0.0006851275102235,False
soft_1mm_r1,Tx,6.233952032429001,0.0005640324088744,0.0005209789960645,0.0005714750150218,False
soft_1mm_r1,Tx,17.31653342341389,0.0007046756800264,0.0005737108294852,0.0008838374051265,False
soft_1mm_r1,Tx,69.26613369365556,0.0006330101750791,0.0005874427733942,0.0006714945775456,False
soft_1mm_r1,Tx,277.06453477462225,0.0005974842933937,0.0005152795929461,0.0007015896262601,False
soft_1mm_r1,Tx,491.02112805429056,0.0008014262421056,0.0005252565606497,0.0008899330860003,False
soft_1mm_r1,Tx,1108.258139098489,0.0005308274412527,0.000523546943441,0.0005312678404152,False
soft_1mm_r1,Tx,1973.316389098519,0.0006130035617388,0.000477697525639,0.0008139003184624,False
soft_1mm_r1,Tx,4433.032556393956,0.000574346864596,0.0004990882007405,0.0006671677110716,False
soft_1mm_r1,Tx,9974.3232518864,0.0006090531824156,0.0005584356840699,0.0007049465202726,False
soft_1mm_r1,Ty,0.1731653342341389,0.0008151149377226,0.000572599703446,0.0008522954885847,False
soft_1mm_r1,Ty,0.6926613369365556,0.0006221160874702,0.0006058198050595,0.0007078417111188,False
soft_1mm_r1,Ty,2.7706453477462225,0.0005721369525417,0.0005226483335718,0.0007055241730995,False
soft_1mm_r1,Ty,6.233952032429001,0.0005273317219689,0.000447194033768,0.0005857099313288,False
soft_1mm_r1,Ty,17.31653342341389,0.0006176650640554,0.0006107214721851,0.000803020724561,False
soft_1mm_r1,Ty,69.26613369365556,0.0005714623257517,0.0005496160592883,0.0007768865325488,False
soft_1mm_r1,Ty,277.06453477462225,0.0006907837232574,0.000507504271809,0.0007782729808241,False
soft_1mm_r1,Ty,491.02112805429056,0.0006733339978381,0.000552722485736,0.0008464695420116,False
soft_1mm_r1,Ty,1108.258139098489,0.0006450061919167,0.0006003496237099,0.0007356894784606,False
soft_1mm_r1,Ty,1973.316389098519,0.0006935212295502,0.0006259996443986,0.0007567632128484,False
soft_1mm_r1,Ty,4433.032556393956,0.000738727976568,0.0007037836476229,0.000785672396887,False
