principle,unit,hardness,thickness_mm,rep,finest_centre_mm,finest_edge_mm,depth_lo_mm,depth_hi_mm,best_dip,n_gaps_resolved,n_gaps_tested,suspect_hardware
9DTact,hard_1mm_r1,hard,1,1,1.25,0.25,0.1,0.6,0.69,4,6,False
9DTact,hard_1mm_r2,hard,1,2,1.1,0.1,0.2,0.6,0.418,2,6,True
9DTact,hard_2mm_r1,hard,2,1,1.25,0.25,0.1,0.9,0.676,5,6,False
9DTact,hard_2mm_r2,hard,2,2,1.5,0.5,0.2,0.9,0.593,4,6,False
9DTact,hard_3mm_r1,hard,3,1,2.5,1.5,0.4,0.9,0.628,1,6,False
9DTact,hard_3mm_r2,hard,3,2,2.5,1.5,0.3,0.9,0.593,1,6,False
9DTact,medium_1mm_r1,medium,1,1,1.1,0.1,0.1,0.6,0.693,5,6,False
9DTact,medium_1mm_r2,medium,1,2,1.1,0.1,0.1,0.1,0.274,1,6,True
9DTact,medium_2mm_r2,medium,2,2,1.1,0.1,0.1,0.9,0.728,5,6,False
9DTact,medium_3mm_r1,medium,3,1,2.5,1.5,0.5,0.9,0.656,1,6,False
9DTact,medium_3mm_r2,medium,3,2,1.75,0.75,0.3,0.9,0.556,2,6,False
9DTact,soft_1mm_r1,soft,1,1,1.5,0.5,0.2,0.6,0.838,4,6,False
9DTact,soft_1mm_r2,soft,1,2,1.75,0.75,0.1,0.6,0.84,3,6,False
9DTact,soft_2mm_r1,soft,2,1,1.75,0.75,0.1,0.9,0.707,3,6,False
9DTact,soft_2mm_r2,soft,2,2,1.25,0.25,0.1,0.9,0.698,4,6,False
9DTact,soft_3mm_r1,soft,3,1,2.0,1.0,0.3,0.3,0.289,1,4,False
9DTact,soft_3mm_r2,soft,3,2,1.25,0.25,0.2,0.9,0.639,3,6,False
DIGIT,hard_1mm_r1,hard,1,1,1.1,0.1,0.1,0.6,0.997,2,2,False
DIGIT,hard_1mm_r2,hard,1,2,1.1,0.1,0.1,0.6,1.0,2,2,False
DIGIT,hard_2mm_r1,hard,2,1,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,hard_2mm_r2,hard,2,2,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,hard_3mm_r1,hard,3,1,1.1,0.1,0.2,0.9,0.967,2,2,False
DIGIT,hard_3mm_r2,hard,3,2,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,medium_1mm_r1,medium,1,1,1.1,0.1,0.1,0.6,0.977,2,2,False
DIGIT,medium_1mm_r2,medium,1,2,1.1,0.1,0.1,0.6,1.0,2,2,False
DIGIT,medium_2mm_r1,medium,2,1,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,medium_2mm_r2,medium,2,2,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,medium_3mm_r1,medium,3,1,1.1,0.1,0.2,0.9,1.0,2,2,False
DIGIT,medium_3mm_r2,medium,3,2,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,soft_1mm_r1,soft,1,1,1.1,0.1,0.1,0.6,0.984,2,2,False
DIGIT,soft_1mm_r2,soft,1,2,1.1,0.1,0.1,0.6,1.0,2,2,False
DIGIT,soft_2mm_r1,soft,2,1,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,soft_2mm_r2,soft,2,2,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,soft_3mm_r1,soft,3,1,1.1,0.1,0.1,0.9,1.0,2,2,False
DIGIT,soft_3mm_r2,soft,3,2,1.1,0.1,0.1,0.9,1.0,2,2,False
